from,to,biomass,coal,imports,gas,nuclear,other,hydro,solar,wind
2025-03-31 23:30:00+00:00,2025-04-01T00:00Z,7.4,0,20.2,32.7,16.6,0,0.1,0.0,23.0
2025-04-01 00:00:00+00:00,2025-04-01T00:30Z,7.4,0,20.0,31.3,16.4,0,0.1,0.0,24.9
2025-04-01 00:30:00+00:00,2025-04-01T01:00Z,7.4,0,20.0,30.3,16.6,0,0.1,0.0,25.7
2025-04-01 01:00:00+00:00,2025-04-01T01:30Z,7.5,0,20.1,30.0,16.6,0,0.1,0.0,25.8
2025-04-01 01:30:00+00:00,2025-04-01T02:00Z,7.5,0,19.4,30.3,16.9,0,0.1,0.0,25.9
2025-04-01 02:00:00+00:00,2025-04-01T02:30Z,7.4,0,19.4,30.0,16.9,0,0.1,0.0,26.2
2025-04-01 02:30:00+00:00,2025-04-01T03:00Z,7.6,0,17.5,30.4,17.2,0,0.1,0.0,27.3
2025-04-01 03:00:00+00:00,2025-04-01T03:30Z,7.6,0,16.9,30.6,17.0,0,0.1,0.0,27.9
2025-04-01 03:30:00+00:00,2025-04-01T04:00Z,7.1,0,12.5,37.5,16.0,0,0.1,0.0,26.9
2025-04-01 04:00:00+00:00,2025-04-01T04:30Z,6.7,0,11.7,40.7,15.1,0,0.0,0.0,25.8
2025-04-01 04:30:00+00:00,2025-04-01T05:00Z,6.3,0,10.2,43.8,14.2,0,0.0,0.0,25.4
2025-04-01 05:00:00+00:00,2025-04-01T05:30Z,6.1,0,9.8,45.4,13.7,0,0.0,0.0,25.0
2025-04-01 05:30:00+00:00,2025-04-01T06:00Z,6.2,0,8.2,46.0,14.0,0,0.0,0.0,25.5
2025-04-01 06:00:00+00:00,2025-04-01T06:30Z,6.0,0,8.1,45.5,13.5,0,0.0,1.3,25.6
2025-04-01 06:30:00+00:00,2025-04-01T07:00Z,5.4,0,15.1,40.5,12.2,0,0.0,3.7,23.0
2025-04-01 07:00:00+00:00,2025-04-01T07:30Z,5.3,0,15.6,38.3,12.0,0,0.0,7.0,21.8
2025-04-01 07:30:00+00:00,2025-04-01T08:00Z,5.4,0,15.8,34.2,12.1,0,0.0,10.9,21.5
2025-04-01 08:00:00+00:00,2025-04-01T08:30Z,5.1,0,15.7,29.0,12.1,0,0.0,15.4,22.6
2025-04-01 08:30:00+00:00,2025-04-01T09:00Z,5.1,0,15.9,21.5,12.2,0,0.0,20.6,24.5
2025-04-01 09:00:00+00:00,2025-04-01T09:30Z,4.8,0,16.1,15.3,12.3,0,0.0,25.6,25.9
2025-04-01 09:30:00+00:00,2025-04-01T10:00Z,4.3,0,16.1,9.7,12.4,0,0.0,29.8,27.6
2025-04-01 10:00:00+00:00,2025-04-01T10:30Z,3.9,0,15.8,5.7,12.2,0,0.0,32.6,29.7
2025-04-01 10:30:00+00:00,2025-04-01T11:00Z,3.1,0,15.0,5.2,11.7,0,0.0,34.0,31.0
2025-04-01 11:00:00+00:00,2025-04-01T11:30Z,3.0,0,14.7,5.1,11.6,0,0.0,35.3,30.3
2025-04-01 11:30:00+00:00,2025-04-01T12:00Z,3.0,0,12.5,5.2,11.5,0,0.0,36.2,31.6
2025-04-01 12:00:00+00:00,2025-04-01T12:30Z,3.0,0,12.3,5.1,11.5,0,0.0,36.4,31.7
2025-04-01 12:30:00+00:00,2025-04-01T13:00Z,3.1,0,11.7,5.2,11.7,0,0.0,36.9,31.4
2025-04-01 13:00:00+00:00,2025-04-01T13:30Z,3.1,0,12.0,5.3,11.9,0,0.0,36.1,31.6
2025-04-01 13:30:00+00:00,2025-04-01T14:00Z,3.1,0,14.4,5.3,11.7,0,0.0,33.4,32.1
2025-04-01 14:00:00+00:00,2025-04-01T14:30Z,3.2,0,14.6,4.9,11.8,0,0.0,31.0,34.4
2025-04-01 14:30:00+00:00,2025-04-01T15:00Z,3.1,0,14.3,6.2,11.7,0,0.0,27.6,37.2
2025-04-01 15:00:00+00:00,2025-04-01T15:30Z,3.3,0,14.2,8.3,11.5,0,0.0,23.6,39.1
2025-04-01 15:30:00+00:00,2025-04-01T16:00Z,3.5,0,14.7,11.4,11.3,0,0.0,19.5,39.5
2025-04-01 16:00:00+00:00,2025-04-01T16:30Z,4.6,0,14.8,13.9,11.3,0,0.0,15.5,39.9
2025-04-01 16:30:00+00:00,2025-04-01T17:00Z,4.9,0,14.4,16.1,11.6,0,0.0,11.7,41.3
